Respondent,Region,Country
20001,South-West,Spain
20002,South-West,Spain
20003,North,Portugal
20004,South-East,Portugal
20005,South-East,Spain
20006,North,Portugal
20007,South-East,Spain
20008,South-West,Spain
20009,North,Portugal
20010,North,Portugal
20011,South-East,Portugal
20012,South-East,Spain
20013,South-West,Spain
20014,South-West,Spain
20015,North,Portugal
20016,South-East,Portugal
20017,South-East,Spain
20018,South-West,Portugal
20019,South-East,Spain
20020,South-West,Spain
20021,South-West,Portugal
20022,North,Portugal
20023,South-East,Portugal
20024,South-West,Spain
20025,South-West,Portugal
20026,North,Portugal
20027,South-East,Portugal
20028,South-West,Spain
20029,South-West,Spain
20030,North,Spain
20031,North,Portugal
20032,South-East,Spain
20033,South-East,Spain
20034,North,Spain
20035,South-West,Spain
20036,North,Portugal
20037,North,Portugal
20038,South-East,Portugal
20039,South-West,Spain
20040,South-West,Spain
20041,North,Spain
20042,South-East,Portugal
20043,South-West,Spain
20044,South-West,Spain
20045,North,Spain
20046,North,Portugal
20047,South-East,Portugal
20048,South-East,Portugal
20049,North,Portugal
20050,South-West,Spain
20051,North,Spain
20052,North,Portugal
20053,South-West,Portugal
20054,South-West,Portugal
20055,North,Spain
20056,South-East,Spain
20057,South-East,Portugal
20058,North,Spain
20059,South-East,Spain
20060,South-West,Spain
20061,North,Spain
20062,North,Portugal
20063,South-West,Portugal
20064,North,Portugal
20065,North,Portugal
20066,South-East,Portugal
20067,South-East,Spain
20068,North,Spain
20069,South-West,Portugal
20070,North,Spain
20071,North,Spain
20072,South-West,Spain
20073,South-West,Spain
20074,North,Portugal
20075,South-East,Portugal
20076,South-East,Portugal
20077,North,Spain
20078,South-East,Spain
20079,South-East,Portugal
20080,North,Spain
20081,South-East,Portugal
20082,South-West,Portugal
20083,South-West,Spain
