Respondent,Buzz user,Alcohol resistance,Artificial filter
10001,Yes,No,A
10002,Yes,Yes,A
10003,Yes,Yes,B
10004,No,No,A
10005,Yes,No,A
10006,Yes,Yes,C
10007,No,No,C
10008,No,No,C
10009,Yes,Yes,B
10010,No,Yes,A
10011,Yes,Yes,B
10012,Yes,No,B
10013,No,Yes,B
10014,No,Yes,C
10015,Yes,Yes,A
10016,Yes,No,A
10017,Yes,Yes,A
10018,No,Yes,C
10019,Yes,No,C
10020,Yes,No,B
10021,Yes,Yes,A
10022,Yes,No,B
10023,Yes,Yes,A
10024,No,No,C
10025,Yes,No,A
10026,Yes,Yes,B
10027,No,Yes,B
10028,No,No,A
10029,Yes,No,C
10030,Yes,Yes,B
10031,Yes,No,C
10032,No,No,B
10033,No,Yes,A
10034,Yes,Yes,A
10035,Yes,Yes,B
10036,Yes,No,A
10037,Yes,Yes,A
10038,Yes,Yes,C
10039,Yes,Yes,C
10040,Yes,No,C
10041,No,Yes,B
10042,Yes,Yes,A
10043,Yes,No,A
10044,No,No,A
10045,No,Yes,B
10046,Yes,No,A
10047,Yes,Yes,A
10048,Yes,No,C
10049,No,Yes,C
10050,No,No,C
10051,Yes,No,B
10052,Yes,Yes,A
10053,No,Yes,B
10054,No,Yes,A
10055,Yes,No,C
10056,Yes,Yes,A
10057,Yes,Yes,B
10058,No,Yes,B
10059,No,No,A
10060,Yes,Yes,C
10061,Yes,No,B
10062,Yes,Yes,C
10063,No,No,B
10064,No,No,A
10065,Yes,Yes,A
10066,Yes,Yes,B
10067,Yes,Yes,A
10068,Yes,No,A
10069,Yes,Yes,C
10070,No,Yes,C
10071,Yes,Yes,C
10072,Yes,No,B
10073,No,No,A
10074,No,No,A
10075,Yes,Yes,A
10076,Yes,Yes,B
10077,Yes,No,A
10078,No,No,A
10079,No,No,C
10080,Yes,No,C
10081,No,No,C
10082,No,Yes,B
10083,Yes,Yes,A
10084,Yes,No,B
10085,Yes,No,A
10086,Yes,No,A
10087,Yes,No,C
10088,No,Yes,C
10089,Yes,Yes,C
10090,Yes,Yes,B
10091,No,No,A
10092,No,No,A
10093,Yes,Yes,C
10094,Yes,Yes,C
10095,Yes,Yes,C
10096,Yes,No,B
10097,Yes,No,A
10098,Yes,No,B
10099,No,Yes,A
10100,Yes,Yes,C
