Respondent,Prod1,Prod2,Prod3,Prod4,Prod5,Prod6,Prod7,Prod8,Prod9,Prod10,Prod11,att_Prod1,att_Prod2,att_Prod3,att_Prod4,att_Prod5,att_Prod6,att_Prod7,att_Prod8,att_Prod9,att_Prod10,att_Prod11
10001,4.113995579,0.358117474,0.24849945,-1.785772398,-0.586969581,-3.529181226,1.602735641,-2.622701621,5.394776069,-4.585301392,1.391802006,-1.497159316,-0.418550206,-0.334903496,0,0,0,0,0,0,0,0
10002,2.610358252,-1.987315186,-0.277033788,2.557858067,1.562368714,-5.211215578,0.375143812,-1.484084801,2.668860326,-10.78698728,9.972047466,-0.215518442,-0.704808235,-0.410736131,0,0,0,0,0,0,0,0
10003,0.451163057,-1.483560725,0.478700282,-4.168480792,-1.683649489,-0.892935585,7.427225376,-1.617486746,3.698983554,-1.95752243,-0.252436503,-0.221492141,-0.474870479,-0.21317671,0,0,0,0,0,0,0,0
10004,2.468586457,-1.914366088,-0.844243586,7.850542037,3.211270379,-5.475800178,-0.2648014,-2.078028737,2.426243502,-13.4803815,8.100979112,-0.07904805,-0.545099966,-0.328744588,0,0,0,0,0,0,0,0
10005,5.670203217,4.9398616,0.613875003,-1.610042398,-0.687125497,-5.501316216,0.35672167,-3.556697304,1.672194923,-3.113444797,1.215769799,-0.131660636,-0.522568198,-0.379896716,0,0,0,0,0,0,0,0
10006,2.51600372,0.452867006,0.61566023,-2.921288228,-1.202919885,-2.650488785,4.271043325,-2.566279773,4.370667022,-3.070438779,0.185174148,-0.066187541,-0.596182793,-0.397961478,0,0,0,0,0,0,0,0
10007,3.305490104,2.363377329,1.853025546,-2.675825914,-0.072159088,-3.958234546,0.96903706,-3.327858518,4.28369982,-2.837466309,0.096914516,-0.238853375,-0.155344601,-0.199968446,0,0,0,0,0,0,0,0
10008,-1.067287396,-2.678732207,0.503719346,-2.50411292,4.146540687,3.877040789,1.500144303,-1.88434224,4.216855525,-5.294455465,-0.815370423,-0.035847788,-0.221954616,-0.095997377,0,0,0,0,0,0,0,0
10009,0.113088383,-1.698060133,0.679393321,-3.50298679,-0.90220278,-1.264716991,5.890118773,-2.084875848,5.959695081,-3.217722825,0.02826981,-0.244646537,-0.524518301,-0.0817974,0,0,0,0,0,0,0,0
10010,1.549022349,-1.808754633,-0.00943396,-0.003798822,0.474691338,-3.487438617,1.525183441,-1.629668411,5.619356078,-7.954620195,5.725461431,-0.199313825,-0.525679211,-0.323133155,0,0,0,0,0,0,0,0
10030,1.120810483,2.725639194,0.828495324,-1.823620751,3.413355792,-3.171223642,0.769499908,-3.43987086,4.78312381,-4.922102855,-0.284106402,-0.15530632,-0.045028367,-0.224880399,0,0,0,0,0,0,0,0
10031,5.060172179,5.885529508,0.696697292,-2.084992317,-0.423903163,-5.539985295,0.472082265,-3.706058033,1.832946847,-2.83653228,0.644042998,-0.618137742,0.17414007,-0.499501991,0,0,0,0,0,0,0,0
10032,0.284641028,-2.189125186,0.507692602,0.334199933,5.111671875,-2.903857657,0.834567303,-2.698807598,5.105857106,-8.76145062,4.374611215,-0.112402886,-0.545838261,-0.15655768,0,0,0,0,0,0,0,0
